Date,count,VIn CH1,sigfig,VInSig,VOut CH2,sigfig,VOutSig,w,wSig,wVar,Frequency Hz,sigfig,FeqSig Hz,Period s,PeriodSig s,Timediff TD s,TDSig s,Phase Ch2Ch1 deg,PhaseVar deg,PhaseSig deg
4/27,1,83,2,1,1.62,3,0.04,66915.92,753.98,568489.21,10650.00,3,120,9.40E-05,1.00E-06,1.70E-05,1.00E-06,-65,15.15,3.891913956
,2,82,2,1,2.00,3,0.04,70497.34,753.98,568489.21,11220.00,3,120,8.90E-05,1.00E-06,1.40E-05,1.00E-06,-57,16.77,4.094682765
,3,79,2,1,2.44,3,0.04,72193.80,753.98,568489.21,11490.00,3,120,8.50E-05,1.00E-06,8.00E-06,1.00E-06,-34,18.10,4.254011156
,4,77,2,1,2.68,3,0.04,76026.54,753.98,568489.21,12100.00,3,120,8.30E-05,1.00E-06,7.00E-06,1.00E-06,-30,18.95,4.35274739
,5,75,2,1,2.84,3,0.04,77660.17,753.98,568489.21,12360.00,3,120,8.10E-05,1.00E-06,6.00E-06,1.00E-06,-27,19.86,4.456621027
,6,74,2,1,3.04,3,0.04,80613.27,753.98,568489.21,12830.00,3,120,7.70E-05,1.00E-06,3.00E-06,1.00E-06,-14,21.89,4.678871814
,7,73,2,1,3.08,3,0.04,81241.59,753.98,568489.21,12930.00,3,120,7.70E-05,1.00E-06,3.00E-08,1.00E-06,0,21.86,4.67532503
,8,73,2,1,3.04,3,0.04,82184.06,753.98,568489.21,13080.00,3,120,7.60E-05,1.00E-06,1.00E-06,1.00E-06,5,22.44,4.737252133
,9,74,2,1,3.00,3,0.04,83440.70,753.98,568489.21,13280.00,3,120,7.50E-05,1.00E-06,3.00E-06,1.00E-06,14,23.08,4.803838465
,10,77,2,1,2.64,3,0.04,86519.46,753.98,568489.21,13770.00,3,120,7.20E-05,1.00E-06,6.00E-06,1.00E-06,30,25.17,5.017331074
,11,80,2,1,2.36,3,0.04,88592.91,753.98,568489.21,14100.00,3,120,7.10E-05,1.00E-06,8.00E-06,1.00E-06,41,26.04,5.102507791
,12,80,2,1,2.20,3,0.04,90100.88,753.98,568489.21,14340.00,3,120,7.00E-05,1.00E-06,9.00E-06,1.00E-06,46,26.89,5.185190201
,13,82,2,1,2.00,3,0.04,92111.50,753.98,568489.21,14660.00,3,120,6.90E-05,1.00E-06,1.00E-05,1.00E-06,52,27.79,5.271899588